customer_id,churned
1,No
2,No
3,No
4,Yes
5,Yes
6,No
7,No
8,No
9,No
10,No
11,No
12,No
13,No
14,No
15,No
16,Yes
17,No
18,No
19,No
20,Yes
21,Yes
22,No
23,No
24,No
25,No
26,Yes
27,No
28,No
29,No
30,Yes
31,No
32,No
33,No
34,No
35,No
36,No
37,No
38,No
39,No
40,No
41,No
42,No
43,No
44,Yes
45,No
46,Yes
47,No
48,Yes
49,Yes
50,No
51,No
52,No
53,Yes
54,No
55,No
56,No
57,No
58,Yes
59,No
60,No
61,No
62,No
63,No
64,No
65,No
66,No
67,No
68,No
69,No
70,Yes
71,No
72,No
73,No
74,No
75,No
76,No
77,No
78,Yes
79,Yes
80,No
81,No
82,No
83,No
84,No
85,No
86,No
87,No
88,Yes
89,No
90,No
91,No
92,No
93,No
94,Yes
95,No
96,Yes
97,No
98,No
99,No
100,No
101,No
102,No
103,Yes
104,Yes
105,No
106,No
107,No
108,No
109,No
110,No
111,No
112,No
113,No
114,No
115,Yes
116,No
117,Yes
118,Yes
119,Yes
120,No
121,No
122,No
123,Yes
124,Yes
125,Yes
126,Yes
127,No
128,No
129,No
130,No
131,No
132,No
133,No
134,Yes
135,Yes
136,No
137,Yes
138,No
139,Yes
140,Yes
141,Yes
142,No
143,No
144,Yes
145,No
146,No
147,No
148,No
149,No
150,Yes
151,No
152,No
153,No
154,Yes
155,No
156,No
157,No
158,No
159,No
160,No
161,Yes
162,Yes
163,No
164,No
165,Yes
166,No
167,Yes
168,No
169,No
170,Yes
171,No
172,Yes
173,No
174,No
175,Yes
176,No
177,No
178,Yes
179,No
180,No
181,Yes
182,No
183,No
184,No
185,Yes
186,Yes
187,No
188,No
189,Yes
190,No
191,No
192,Yes
193,No
194,No
195,No
196,No
197,No
198,No
199,No
200,Yes
201,No
202,No
203,No
204,No
205,No
206,Yes
207,No
208,Yes
209,No
210,No
211,Yes
212,No
213,Yes
214,No
215,No
216,No
217,No
218,No
219,No
220,No
221,No
222,No
223,No
224,No
225,No
226,Yes
227,No
228,No
229,No
230,No
231,No
232,Yes
233,Yes
234,No
235,No
236,Yes
237,Yes
238,No
239,No
240,No
241,No
242,No
243,No
244,Yes
245,No
246,Yes
247,No
248,No
249,No
250,No
251,Yes
252,Yes
253,No
254,No
255,Yes
256,Yes
257,No
258,No
259,No
260,No
261,No
262,Yes
263,No
264,No
265,No
266,No
267,Yes
268,No
269,No
270,No
271,No
272,No
273,Yes
274,No
275,No
276,No
277,No
278,No
279,Yes
280,No
281,No
282,Yes
283,No
284,No
285,No
286,No
287,No
288,No
289,No
290,No
291,No
292,No
293,Yes
294,No
295,No
296,No
297,No
298,No
299,No
300,No
301,No
302,Yes
303,Yes
304,Yes
305,Yes
306,No
307,No
308,No
309,No
310,No
311,No
312,No
313,No
314,No
315,No
316,No
317,No
318,No
319,No
320,No
321,No
322,Yes
323,No
324,No
325,No
326,No
327,No
328,No
329,Yes
330,No
331,No
332,No
333,No
334,No
335,No
336,No
337,No
338,No
339,No
340,Yes
341,No
342,No
343,Yes
344,No
345,No
346,No
347,No
348,Yes
349,No
350,No
351,Yes
352,No
353,No
354,No
355,No
356,No
357,No
358,No
359,No
360,Yes
361,No
362,No
363,No
364,No
365,No
366,Yes
367,No
368,No
369,No
370,No
371,No
372,No
373,No
374,No
375,No
376,No
377,No
378,No
379,Yes
380,No
381,Yes
382,No
383,Yes
384,No
385,No
386,Yes
387,No
388,No
389,No
390,No
391,No
392,No
393,No
394,No
395,No
396,No
397,No
398,No
399,No
400,No
401,No
402,No
403,No
404,Yes
405,No
406,No
407,No
408,No
409,No
410,No
411,Yes
412,Yes
413,Yes
414,No
415,No
416,No
417,No
418,Yes
419,No
420,No
421,No
422,Yes
423,No
424,No
425,Yes
426,Yes
427,Yes
428,No
429,Yes
430,No
431,No
432,No
433,No
434,No
435,No
436,No
437,No
438,No
439,No
440,No
441,No
442,Yes
443,No
444,No
445,No
446,No
447,Yes
448,Yes
449,No
450,No
451,Yes
452,No
453,No
454,No
455,No
456,Yes
457,No
458,No
459,Yes
460,Yes
461,No
462,No
463,No
464,No
465,No
466,No
467,No
468,No
469,Yes
470,No
471,Yes
472,Yes
473,No
474,No
475,Yes
476,Yes
477,No
478,No
479,No
480,Yes
481,No
482,No
483,Yes
484,No
485,No
486,No
487,No
488,Yes
489,No
490,No
491,No
492,No
493,No
494,No
495,No
496,Yes
497,No
498,Yes
499,Yes
500,No
501,No
502,No
503,No
504,Yes
505,No
506,No
507,Yes
508,Yes
509,No
510,No
511,No
512,No
513,No
514,No
515,No
516,Yes
517,Yes
518,No
519,No
520,No
521,No
522,No
523,Yes
524,No
525,Yes
526,No
527,No
528,No
529,Yes
530,No
531,No
532,Yes
533,No
534,No
535,No
536,Yes
537,No
538,Yes
539,No
540,No
541,No
542,No
543,No
544,No
545,No
546,No
547,No
548,No
549,No
550,No
551,Yes
552,No
553,Yes
554,Yes
555,No
556,No
557,No
558,No
559,No
560,No
561,No
562,No
563,No
564,No
565,Yes
566,No
567,No
568,No
569,Yes
570,No
571,No
572,No
573,No
574,No
575,No
576,Yes
577,No
578,Yes
579,No
580,Yes
581,No
582,No
583,No
584,Yes
585,Yes
586,Yes
587,No
588,No
589,Yes
590,Yes
591,No
592,No
593,No
594,No
595,Yes
596,No
597,No
598,No
599,No
600,No
601,Yes
602,Yes
603,Yes
604,Yes
605,No
606,Yes
607,No
608,Yes
609,Yes
610,No
611,No
612,No
613,No
614,No
615,No
616,No
617,Yes
618,No
619,No
620,No
621,Yes
622,No
623,Yes
624,No
625,No
626,No
627,Yes
628,No
629,Yes
630,No
631,No
632,No
633,No
634,No
635,No
636,No
637,No
638,Yes
639,Yes
640,No
641,No
642,No
643,No
644,No
645,No
646,No
647,No
648,No
649,No
650,No
651,No
652,No
653,No
654,Yes
655,No
656,Yes
657,No
658,No
659,Yes
660,No
661,No
662,No
663,Yes
664,No
665,No
666,Yes
667,No
668,No
669,Yes
670,No
671,No
672,Yes
673,Yes
674,No
675,No
676,No
677,No
678,No
679,Yes
680,No
681,No
682,No
683,Yes
684,No
685,No
686,Yes
687,No
688,No
689,Yes
690,No
691,No
692,Yes
693,No
694,Yes
695,No
696,Yes
697,Yes
698,No
699,No
700,No
701,Yes
702,No
703,No
704,Yes
705,No
706,No
707,No
708,Yes
709,No
710,Yes
711,No
712,No
713,No
714,Yes
715,Yes
716,No
717,No
718,No
719,Yes
720,No
721,No
722,No
723,No
724,Yes
725,Yes
726,No
727,Yes
728,No
729,No
730,No
731,Yes
732,Yes
733,No
734,No
735,No
736,No
737,No
738,No
739,No
740,No
741,No
742,No
743,No
744,No
745,No
746,No
747,No
748,No
749,No
750,No
751,No
752,Yes
753,No
754,No
755,Yes
756,Yes
757,No
758,Yes
759,No
760,No
761,Yes
762,Yes
763,No
764,Yes
765,No
766,Yes
767,No
768,Yes
769,No
770,No
771,No
772,No
773,No
774,No
775,No
776,No
777,No
778,No
779,Yes
780,No
781,No
782,No
783,No
784,No
785,Yes
786,No
787,No
788,No
789,No
790,Yes
791,Yes
792,No
793,No
794,No
795,No
796,No
797,Yes
798,Yes
799,Yes
800,No
801,No
802,No
803,No
804,No
805,No
806,Yes
807,No
808,No
809,No
810,No
811,No
812,Yes
813,Yes
814,Yes
815,No
816,Yes
817,No
818,No
819,Yes
820,Yes
821,No
822,No
823,No
824,No
825,No
826,No
827,Yes
828,No
829,Yes
830,Yes
831,No
832,Yes
833,No
834,No
835,No
836,Yes
837,Yes
838,No
839,No
840,Yes
841,No
842,Yes
843,No
844,No
845,No
846,No
847,Yes
848,Yes
849,Yes
850,No
851,No
852,No
853,Yes
854,No
855,No
856,No
857,No
858,Yes
859,No
860,No
861,No
862,No
863,No
864,Yes
865,No
866,Yes
867,No
868,Yes
869,No
870,Yes
871,No
872,No
873,No
874,Yes
875,No
876,No
877,No
878,Yes
879,No
880,No
881,Yes
882,No
883,No
884,Yes
885,No
886,No
887,No
888,No
889,No
890,No
891,Yes
892,No
893,Yes
894,Yes
895,No
896,Yes
897,No
898,No
899,No
900,No
901,No
902,No
903,No
904,No
905,No
906,No
907,No
908,No
909,No
910,No
911,No
912,No
913,No
914,No
915,No
916,No
917,No
918,No
919,No
920,No
921,No
922,No
923,No
924,No
925,No
926,No
927,Yes
928,No
929,No
930,No
931,No
932,Yes
933,No
934,No
935,Yes
936,No
937,Yes
938,No
939,Yes
940,Yes
941,Yes
942,Yes
943,No
944,No
945,No
946,Yes
947,No
948,No
949,No
950,No
951,No
952,No
953,No
954,No
955,Yes
956,No
957,Yes
958,No
959,No
960,Yes
961,Yes
962,No
963,Yes
964,No
965,No
966,No
967,No
968,No
969,No
970,No
971,No
972,No
973,Yes
974,No
975,No
976,Yes
977,No
978,No
979,No
980,No
981,No
982,No
983,No
984,No
985,No
986,Yes
987,No
988,No
989,No
990,No
991,No
992,No
993,Yes
994,No
995,No
996,Yes
997,No
998,No
999,No
1000,Yes
1001,No
1002,No
1003,No
1004,No
1005,No
1006,Yes
1007,No
1008,No
1009,No
1010,Yes
1011,No
1012,No
1013,Yes
1014,No
1015,No
1016,No
1017,No
1018,No
1019,No
1020,No
1021,Yes
1022,Yes
1023,No
1024,Yes
1025,No
1026,No
1027,Yes
1028,No
1029,No
1030,Yes
1031,No
1032,No
1033,No
1034,Yes
1035,No
1036,No
1037,No
1038,No
1039,No
1040,No
1041,No
1042,No
1043,No
1044,No
1045,No
1046,No
1047,Yes
1048,Yes
1049,No
1050,No
1051,Yes
1052,No
1053,No
1054,No
1055,No
1056,No
1057,Yes
1058,No
1059,Yes
1060,No
1061,No
1062,Yes
1063,No
1064,No
1065,No
1066,No
1067,Yes
1068,No
1069,No
1070,No
1071,No
1072,No
1073,No
1074,No
1075,Yes
1076,No
1077,Yes
1078,No
1079,No
1080,Yes
1081,No
1082,No
1083,Yes
1084,Yes
1085,No
1086,No
1087,No
1088,Yes
1089,Yes
1090,No
1091,No
1092,No
1093,No
1094,Yes
1095,No
1096,No
1097,Yes
1098,No
1099,No
1100,No
1101,No
1102,No
1103,No
1104,No
1105,No
1106,No
1107,Yes
1108,No
1109,Yes
1110,No
1111,Yes
1112,No
1113,No
1114,No
1115,No
1116,No
1117,Yes
1118,No
1119,Yes
1120,No
1121,No
1122,No
1123,No
1124,No
1125,No
1126,No
1127,Yes
1128,No
1129,Yes
1130,No
1131,No
1132,No
1133,Yes
1134,No
1135,No
1136,No
1137,Yes
1138,Yes
1139,Yes
1140,Yes
1141,Yes
1142,No
1143,Yes
1144,Yes
1145,Yes
1146,No
1147,No
1148,No
1149,No
1150,No
1151,Yes
1152,No
1153,No
1154,No
1155,No
1156,Yes
1157,Yes
1158,No
1159,No
1160,No
1161,No
1162,Yes
1163,Yes
1164,Yes
1165,No
1166,No
1167,No
1168,Yes
1169,No
1170,No
1171,Yes
1172,No
1173,No
1174,No
1175,Yes
1176,No
1177,No
1178,No
1179,No
1180,Yes
1181,No
1182,No
1183,Yes
1184,No
1185,No
1186,No
1187,Yes
1188,Yes
1189,No
1190,Yes
1191,Yes
1192,No
1193,No
1194,Yes
1195,Yes
1196,No
1197,No
1198,No
1199,No
1200,Yes
1201,Yes
1202,No
1203,Yes
1204,No
1205,No
1206,No
1207,Yes
1208,No
1209,No
1210,No
1211,No
1212,No
1213,Yes
1214,Yes
1215,Yes
1216,No
1217,Yes
1218,No
1219,No
1220,No
1221,No
1222,No
1223,No
1224,No
1225,No
1226,No
1227,No
1228,No
1229,No
1230,No
1231,No
1232,No
1233,No
1234,No
1235,No
1236,No
1237,Yes
1238,No
1239,Yes
1240,No
1241,No
1242,Yes
1243,No
1244,Yes
1245,No
1246,Yes
1247,No
1248,No
1249,Yes
1250,No
1251,Yes
1252,No
1253,No
1254,No
1255,No
1256,No
1257,No
1258,No
1259,No
1260,No
1261,No
1262,Yes
1263,No
1264,No
1265,No
1266,No
1267,No
1268,No
1269,Yes
1270,Yes
1271,No
1272,Yes
1273,No
1274,No
1275,No
1276,No
1277,No
1278,No
1279,Yes
1280,No
1281,No
1282,No
1283,Yes
1284,No
1285,Yes
1286,No
1287,No
1288,No
1289,No
1290,Yes
1291,No
1292,No
1293,Yes
1294,No
1295,No
1296,No
1297,No
1298,Yes
1299,Yes
1300,No
1301,Yes
1302,No
1303,Yes
1304,No
1305,Yes
1306,No
1307,Yes
1308,No
1309,No
1310,No
1311,No
1312,No
1313,No
1314,No
1315,No
1316,No
1317,Yes
1318,No
1319,Yes
1320,No
1321,No
1322,No
1323,Yes
1324,No
1325,No
1326,No
1327,No
1328,Yes
1329,No
1330,No
1331,No
1332,No
1333,Yes
1334,No
1335,No
1336,Yes
1337,No
1338,No
1339,No
1340,No
1341,No
1342,No
1343,No
1344,No
1345,No
1346,No
1347,No
1348,No
1349,No
1350,No
1351,No
1352,No
1353,Yes
1354,No
1355,No
1356,Yes
1357,No
1358,No
1359,No
1360,Yes
1361,No
1362,No
1363,No
1364,Yes
1365,No
1366,Yes
1367,No
1368,No
1369,No
1370,No
1371,No
1372,No
1373,No
1374,No
1375,No
1376,No
1377,Yes
1378,No
1379,No
1380,No
1381,No
1382,No
1383,Yes
1384,No
1385,No
1386,Yes
1387,Yes
1388,No
1389,No
1390,No
1391,No
1392,No
1393,No
1394,No
1395,Yes
1396,No
1397,No
1398,Yes
1399,No
1400,No
1401,No
1402,No
1403,No
1404,No
1405,Yes
1406,No
1407,No
1408,No
1409,Yes
1410,No
1411,No
1412,Yes
1413,No
